work_order_id,product_id,product_name,quantity,priority,due_time,status
WO-DEMO-001,P-AXLE-A,Drive Axle A,120,URGENT,2026-05-14T20:00:00+08:00,released
WO-DEMO-002,P-AXLE-B,Drive Axle B,80,HIGH,2026-05-14T21:00:00+08:00,released
WO-DEMO-003,P-HOUSING-A,Gear Housing A,60,NORMAL,2026-05-15T12:00:00+08:00,released
WO-DEMO-004,P-HOUSING-B,Gear Housing B,90,HIGH,2026-05-14T22:00:00+08:00,released
WO-DEMO-005,P-SHAFT-A,Motor Shaft A,150,NORMAL,2026-05-15T16:00:00+08:00,released
WO-DEMO-006,P-SHAFT-B,Motor Shaft B,100,HIGH,2026-05-14T23:00:00+08:00,released
WO-DEMO-007,P-BRACKET-A,Mounting Bracket A,200,LOW,2026-05-16T10:00:00+08:00,released
WO-DEMO-008,P-BRACKET-B,Mounting Bracket B,180,NORMAL,2026-05-15T18:00:00+08:00,released
WO-DEMO-009,P-ROTOR-A,Rotor A,70,URGENT,2026-05-14T21:30:00+08:00,released
WO-DEMO-010,P-ROTOR-B,Rotor B,75,HIGH,2026-05-15T10:00:00+08:00,released
WO-DEMO-011,P-COVER-A,Control Cover A,160,NORMAL,2026-05-16T09:00:00+08:00,released
WO-DEMO-012,P-COVER-B,Control Cover B,140,LOW,2026-05-16T14:00:00+08:00,released
